location_name,lat,lon,title,author,publisher,size,notes,,,library,
坂戸市役所,35.956163,139.398083,坂戸風土記 第15号 (坂戸市史調査資料 ; 第15号),坂戸市教育委員会 編,"[坂戸] : 坂戸市教育委員会, 1989.3",69p ; 23cm,pp.20に赤尾白山神社における一目蓮（一目連神社祠）について,,,http://id.ndl.go.jp/bib/000002049690,
坂戸市役所,35.956163,139.398083,埼玉の神社 入間・北埼玉・秩父,埼玉県神社庁神社調査団 編,"大宮 : 埼玉県神社庁, 1986.4",1455p ; 27cm,pp.550-553「島田天神社_町西の九頭竜社を合祀する」,,,http://id.ndl.go.jp/bib/000001820268,
川口市役所,35.806732,139.723371,川口市文化財調査報告書. 第3集,川口市教育委員会,"川口 : 川口市教育委員会, 1975","30,[57]p ; 26cm",pp.26-27「前川_（観福寺）水神塔」◆pp.31「石仏年代順所在地一覧」,,,http://id.ndl.go.jp/bib/000001283063,
入間市役所,35.835768,139.391056,入間川の水神信仰,柳正博,埼玉県立さきたま史跡の博物館, p ; cm,埼玉県立さきたま資料館「調査研究報告」第1号（昭和63年3月発行）『調査研究報告』第1号_pp.33-42.pdf　ダウンロード可能,,,https://sakitama-muse.spec.ed.jp/cabinets/cabinet_files/view/289/ebd892da5df9c3e03317b6127aac1093?frame_id=316,
入間市役所,35.835768,139.391056,入間川の水運,さきたま資料館 (埼玉県立),"[浦和] : 埼玉県教育委員会 ,1988.3",101p ; 30cm,pp.68「水運と水神信仰」◆pp.75「水神碑リスト」◆「入間川及び高麗川・越辺川・都幾川・槻川沿岸の史跡・文化財等リスト」,,,http://id.ndl.go.jp/bib/000001937214,
狭山市役所,35.852943,139.412211,狭山市史 通史篇2,狭山市,"狭山 : 狭山史, 1995.12",1080p ; 22cm,pp.294関東大洪水、pp.297「『水神』と刻まれた石碑が建っているが、これはこの水害を契機に_（『入間川町誌』四一二頁）」,,,http://id.ndl.go.jp/bib/000002574289,
狭山市役所,35.852943,139.412211,狭山市史 地誌編,狭山市,"狭山 : 狭山市, 1989.3",690p ; 22cm,pp.271-272「九頭竜大権現碑」、pp.275「水天宮神体」、pp.285「浮き彫り弁財天座像」、pp.543-544「弁財天」、pp.606「水天宮」、pp.637-638、pp.670,,,http://id.ndl.go.jp/bib/000002030510,
狭山市役所,35.852943,139.412211,狭山市史 民俗編,狭山市,"狭山 : 狭山市, 1985.3",938p ; 22cm,pp.4、pp.60「水神」pp.98「九頭竜大権現の石碑」pp.481「図163年代別による石造造立の推移」、pp.487、pp.489、pp.491、pp.493、◆pp.795,,,http://id.ndl.go.jp/bib/000001750108,
国土交通省,35.675753,139.75001,資料　荒川水系 流域および氾濫域の概要①,国土交通省,,,荒川河川改修の歴史が図解、西遷後、明治の改修,,,https://www.mlit.go.jp/river/shinngikai_blog/shaseishin/kasenbunkakai/shouiinkai/kihonhoushin/070119/pdf/s2-1.pdf,
秩父市役所,35.99169,139.085435,地図で歩く秩父路,飯野頼治,"さいたま :  さきたま出版会, 2006.12",419p 20cm,pp.338「親鼻駅付近に高戸水神宮」、pp.211「椚平の水神社」,,,http://id.ndl.go.jp/bib/000008383555,
秩父市役所,35.99169,139.085435,龍神とナーガに関する四十四の解説（インド・中国・日本の龍観とその変遷）,Webサイト　Copyright © 龍神観応伝承会 All Rights Reserved.,,,出典 : 龍神観応伝承会 (https://sasurairyu.net/),,,https://sasurairyu.net/chou-ryuujin-kaisetsu/,
吉見町役場,36.039859,139.453722,吉見町史　下巻,吉見町町史編さん委員会 編著,"東京 : 木耳社, 1979.5",976p 22cm,pp.424「久保田新田」pp.436「淵がまちの巳待供養塔」◆pp.757-758「飯島新田の水神祭」pp.829-830その他多数,,,http://id.ndl.go.jp/bib/000001414363,
さいたま市役所,35.860895,139.645609,大宮市史. 第4巻 (近代編),大宮市,"大宮 : 大宮市, 1982.3",1132p 22cm,pp.427-443「水害」、pp.429「表_遊馬村_水害予備船」,,,http://id.ndl.go.jp/bib/000001566152,
さいたま市役所,35.860895,139.645609,大宮市史 別巻 1 (補遺・年表),大宮市,"大宮 : 大宮市, 1985.3",273p ; 22cm,年表_慶応元年に水害はない_弘化3年、安政6年の水害,,,http://id.ndl.go.jp/bib/000001752725,
八潮市役所,35.822167,139.839501,埼玉県東部の民俗　下巻,板垣時夫,"所沢 : さいたま民俗文化研究所 (出版), 2020.12",247p ; 22cm,埼玉県東部の水神について,,,http://id.ndl.go.jp/bib/031258868,
立正大学品川キャンパス,35.621192,139.722914,古代インドのナーガ信仰と法華経にあらわれる八大龍王について,"髙橋, 堯英",公開日 ; 2023-06-28,,出典：立正大学学術リポジトリ,,,https://rissho.repo.nii.ac.jp/records/11539,
鴻巣市役所,36.065764,139.522165,吹上町史,吹上町史編さん会 編,"吹上町 (埼玉県) : 吹上町, 1980.1",1183p ; 22cm,pp.437-438「水神・九頭竜大神・一目連大神」、◆pp.452「砂原_九頭龍大神」その他多数,,,http://id.ndl.go.jp/bib/000001903241,
和光市役所,35.78121,139.605793,和光市下新倉の水神について,安井　翠,PDF資料,,水神祠移転について記述,,,https://rekitama-wako.jp/wako_rekishinotamatebako/images//wako-kiyou04_001-038.pdf,
北本市役所,36.026775,139.530208,北本市史 第6巻 (民俗編),北本市教育委員会市史編さん室 編,"北本 : 北本市教育委員会, 1989.3",889p ; 22cm,pp.528水神宮碑,,,http://id.ndl.go.jp/bib/000001982000,
北本市役所,36.026775,139.530208,北本市史. 第2巻 (通史編 2 近・現代編),北本市教育委員会市史編さん室 編,"北本 : 北本市教育委員会, 1993.3",826p ; 22cm,pp.327「石戸村においても堤防が三か所決潰した」、pp.278,,,http://id.ndl.go.jp/bib/000002253964,
上尾市役所,35.977387,139.593202,上尾市史 第9巻 (別編 2 金石・文化財),上尾市教育委員会 編,"上尾 : 上尾市, 1999.3",633p ; 27cm,pp.345「平方地区の河岸場」、pp.362、pp.368「水神宮祠（橘神社）」、pp.396、pp.400,,,http://id.ndl.go.jp/bib/000002810097,
埼玉県立川の博物館,36.11559,139.219623,かわはくだより第11号,埼玉県立川の博物館,埼玉県 2001.07.02発行,,荒川西遷により「和田吉野川合流付近、すなわち荒川中流域 では、以前にもまして水害が増え」との記述がある,,,https://www.river-museum.jp/wp/wp-content/uploads/2019/03/kawahaku_no11.pdf,
公益財団法人 河川財団,35.691218,139.778541,川の本2006春の号No.60,財団法人河川環境管理財団(現公益財団法人 河川財団),東京都,,荒川のカッパ収録。なお山田えいじ著「荒川村の民話と伝説」より引用、再輪したもの。,,,https://www.kasen.or.jp/Portals/0/pdf_kasen03/no60.pdf,
川越市役所,35.925104,139.485791,川越の石仏,大護八郎 著 [他],"川越 : 川越市, 1973",203p図194p ; 22cm,p.199下井草の九頭龍碑 ,,,http://id.ndl.go.jp/bib/000001220030,
