name,lat,lon,type,year,size,address,inscription,coordinates_dd,Survey_date,Condition comment,Condition level ,photo_filename,flood_related,belief_function,belief_function_sub,belief_function_note,relocated,relocation_note,zone
矢那瀬石碑群の辯才天供養塔,36.133712,139.135755,benten,1746年,高さ141cm 幅50cm 厚7cm,埼玉県秩父郡長瀞町大字矢那瀬,(表面)延享三歳矢那瀬村　辯才天供養塔　丙寅六月吉日講中二十一人,"36.133712, 139.135755",2025年4月27日,緑色の細かい地衣類、下部にも。種子 सु(ソ) が刻まれている。延享三。,★★★☆☆,yanase_grouped_monument_benten.jpg,,,,,,,a
押切の波乗弁才天,36.132693,139.32309,benten,1727年,高さ95cm 幅39cm 厚21cm,熊谷市押切,(正面右)享保十二丁未二月吉日(正面左)武刕(このあと欠字)押切村,"36.132693, 139.32309",2025年5月4日,正面右側地衣類付着、正面左側剥落のため欠字。熊谷デジタルミュージアムの写真の方が地衣類付着がひどい。その後クリーニングされたか現在はみられない。,★★★★☆,naminori_benten.jpg,,,,,,,a
上新田の弁才天,36.131122,139.318383,benten,-,高さ72cm 幅25cm 厚18cm,熊谷市上新田,(左側面)大里郡上新田　(右側面)判別不能,"36.131122, 139.318383",2025年5月4日,剥落、左部に欠損あり。右側面に地衣類付着し銘文判別不能。上新田の石仏石塔群のなかの1基。,★★★☆☆,kamishinden_benten.jpg,,,,,,,a
成沢赤城神社の弁財天碑,36.12431,139.345352,benten,1745年,高さ95cm 幅40cm 厚26cm,熊谷市成沢346-2,(左側面)武刕大里郡上吉見□　(右側面)延享二□二月吉日,"36.12431, 139.345352",2025年5月4日,8本の腕(八臂弁財天)。波頭に立っているようにも見えるが足下にも地衣類付着著しい。笠部欠損あり。台座に苔と黄色の地衣類付着。他に8体以上の石碑が並ぶ。,★★☆☆☆,narusawa_akagi_shrine_benten.jpg,,,,,,,a
滝馬室氷川神社参道横の弁財天碑,36.049275,139.503045,benten,不明,高さ30cm 幅17cm 厚13cm,鴻巣市滝馬室1151,銘なし,"36.049275, 139.503045",2025年5月8日,正面文字「才天」箇所に緑の地衣類。部滝馬室氷川神社には神池(弁財池)がありそのほとりに祀られている。表面上部に蛇の線画あり。,★★★★☆,takimamuro_hikawa_benten.jpg,,,,,,,b
妙楽寺の弁財菩薩祠,36.03754142,139.50781962,benten,1920年,高さ - cm 幅 - cm 厚 - cm,鴻巣市原馬室2965-2,大正九年,"36.03754142,139.50781962",2025年5月8日,覆屋のように外側と内側に祠がある構造になっている。外側の祠は笠部剥落激しい。妙楽寺入り口左に3基祀られているうち、一番右。中央に1678年建立の庚申塔が位置する。,★★★★☆,myoraku_temple_benten.jpg,,,,,,,b
北本市高尾8-119厳島社の弁天社,36.02302,139.512358,benten,-,高さcm 幅cm 厚cm,埼玉県北本市高尾7丁目29,,"36.02302, 139.512358",2025年5月20日,弁天池は湧水。しめ縄が龍の形になっている。龍がこの池の杉（龍燈杉）より昇天したとの伝説がある。,,kitamototakaohikawa_shrine_benten.jpg,,,,,,,b
弁天講の亀ヶ池弁財天,35.776325,139.717361,benten,,高さcm 幅cm 厚cm,,,"35.776325, 139.717361",2025年8月9日,弁天講がある。,★★★★★,kamegaike_pond_benten.jpg,,,,,,,c
長徳寺の辯才天,35.769435,139.69731,benten,1805年,高さ74cm 幅cm 厚cm,板橋区大原町４０−７,奉納　辨才天 (右側面)文化二乙丑歳三月吉日當村 長徳寺住大道代　願主鈴木勝□　(左)世話人4人の氏名,"35.769435, 139.69731",2025年8月12日,笠部に地衣類。全体的に黒ずんでいるが浮彫は状態がよい。銘文は「石仏 改定版 (文化財シリーズ ; 第79集) (いたばしの石造文化財 ; その4)」より。状態良い。台座と屋根に地衣類。笠付角柱に、像容は陽刻されている。,★★★★☆,chotokuji_temple_benten.jpg,,,,,,,c
堀之内氷川神社境内の水神宮祠,35.77393388,139.75661368,water,1835年,高さ65cm 幅48cm 厚44cm,東京都足立区堀之内１丁目７−４ 氷川神社境内,（正面）水神宮　（右側面）天保六年未年七月吉日再建,"35.77393388, 139.75661368",2026年4月7日,全体的に欠損が見られ、特に傘部の剥落が著しい。正面の文字はわずかに判読可能。左隣庚申塔とともに覆屋設置。,☆☆☆☆☆,adati_horiunouti_suijin_2.jpg,,,,,,,d
扇御嶽神社の水神宮碑,35.76162034,139.77778546,water,1965年,高さ81cm 幅43cm 厚17cm,東京都足立区扇１丁目２８,（正面）水神宮　水天宮　（裏面）昭和四十年,"35.76162034,139.77778546",2026年4月7日,鉄筋コンクリート造りの倉庫屋上に建てられた、1639年創建と伝えられる扇御嶽神社。屋上にあがると覆屋内に寛政五年建立庚申塔と共に水神宮碑が鎮座。美麗、状態はよい。,★★★★★,adati_ougimitake_shrine_suijin_1.jpg,,,,,,,d
宮城氷川神社境内の水神宮祠1,35.76197968,139.75847959,water,2005年再建,高さ75cm 幅38cm 厚50cm,東京都足立区宮城１丁目３８−６宮城氷川神社境内,（正面）水神宮　（裏面）大正十二年六月建立　平成十七年三月再建,"35.76197968,139.75847959",2026年4月7日,台座高さ69cm。多少黒ずんでいる箇所があるが美麗。宮城氷川神社はかつて荒川の河川敷に鎮座し、放水路工事のために現在の場所へ遷移。,★★★★★,adati_miyagihikawa_suijin1.jpg,,,,,,,d
宮城氷川神社境内の水神宮祠2,35.76199446,139.75853206,water,1923年,高さ90cm 幅74cm 厚33cm,東京都足立区宮城１丁目３８−６宮城氷川神社境内,（正面）水神宮　（裏面）大正十二年六月□□,"35.76199446,139.75853206",2026年4月7日,正面文字は比較的判別可能。笠部に欠損、黄色い地衣類付着。側面に銘文なし。同地に置かれた扁額にはわずかに「水神」と読める。,★★☆☆☆,adati_miyagihikawa_suijin2.jpg,,,,,,,d
尾久八幡神社境内の厳島神社,35.75066469,139.76480591,benten,1923年,高さ180cm 幅90cm 厚90cm,東京都荒川区西尾久３丁目７−３尾久八幡神社境内,（正面扁額部）厳島神社　（裏面）大正十二年三月　石工半澤新之助刻　（側面文字なし）,"35.75066469,139.76480591",2026年4月7日,となりに空堀となった弁天池。黒いすすのようなものが全体に見られるも覆屋内で状態はよい。右側面に松。近傍の小台橋付近には「尾久の渡し」。,★★★★★,adati_oguhatiman_itukusima.jpg,,,,,,,d
船方神社境内の水神宮1,35.75439353,139.75716550,water,1980年,高さ160cm 幅63cm 厚48cm,東京都北区堀船４丁目１３−２８船方神社,（正面）水神宮　（右側面）昭和五十五年六月吉日改築　（左側面）奉納船方神社氏子会,"35.75439353,139.75716550",2026年4月7日,台座高さ112cm。覆屋はないが大変美麗。境内他の碑には水神宮由緒もあり、元和年間（1615-1624）に船方村人により奉斎（神仏や御神札を慎んでおまつりすること）されたと思われる、との銘あり。大正中期までは水神祭にて子どもたちによる初泳ぎが奉納されたが第二次大戦の空襲で焦土と化し、また再興へ。,★★★★★,funakata_shrine_suijin1.jpg,,,,,,,d
船方神社境内の水神宮2,35.75435064,139.75718289,water,不明,高さ104cm 幅40cm 厚28cm,東京都北区堀船４丁目１３−２８船方神社,（正面）水神宮　（裏面)(確認できない位置にある),"35.75435064,139.75718289",2026年4月7日,"台座高さ35cm。裏面確認できずも正面の文字は鮮明。緑の地衣類付着で""苔むした""という表現が適切な状況、古びた情緒が感じられる。すぐ裏手には隅田川堤防が位置している。",★★☆☆☆,funakata_shrine_suijin2.jpg,,,,,,,d
